filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
Power Rangers,,,,,,,,,,,,,,,,,
Life,,,,,,,,,,,,,,,,,
CHiPs,,,,,,,,,,,,,,,,,
Wilson,47,30,132,"2,500+",R (Some Sexuality|Language Throughout),Comedy,English,Craig Johnson,"Mary Jane Skalski, Jared Goldman",Daniel Clowes,"Mar 24, 2017  Limited","Jun 20, 2017",$653.0K,1h 34m,Fox Searchlight,,"Woody Harrelson,Laura Dern,Judy Greer,Margo Martindale,Cheryl Hines,Isabella Amara,David Warshofsky,Mary Lynn Rajskub,James Saito,Tom Proctor,"
Brandon Dickerson,,,,,,,,,,,,,,,,,
Car Dogs,,,,,,,,,,,,,,,,,
Scott Eastwood,,,,,,,,,,,,,,,,,
The Marine 5: Battleground,,,,,,,,,,,,,,,,,
Ghost in the Shell,43,51,297,"25,000+",PG-13 (Some Disturbing Images|Intense Sci-Fi Violence|Suggestive Content),"Action, Adventure, Sci-Fi",English,Rupert Sanders,"Avi Arad, Ari Arad, Steven Paul, Michael Costigan","Jamie Moss, William Wheeler, Ehren Kruger","Mar 31, 2017  Wide","Jul 25, 2017",$40.5M,1h 47m,Paramount Pictures,,"Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Michael Pitt,Juliette Binoche,Chin Han,Danusia Samal,Peter Ferdinando,Kaori Momoi,Anamaria Marinca,"
The Boss Baby,53,51,180,"25,000+",PG (Some Mild Rude Humor),"Kids & Family, Adventure, Animation, Comedy",English,Tom McGrath,Ramsey Ann Naito,Michael McCullers,"Mar 31, 2017  Wide","Jul 25, 2017",$174.9M,1h 37m,20th Century Fox,,"Alec Baldwin,Miles Christopher Bakshi,Tobey Maguire,Jimmy Kimmel,Lisa Kudrow,Steve Buscemi,ViviAnn Yee,Eric Bell Jr.,Conrad Vernon,Tom McGrath,"
The Zookeeper's Wife,64,76,181,"10,000+",PG-13 (Disturbing Images|Brief Sexuality|Violence|Nudity|Smoking|Thematic Elements),"Biography, History, Drama",English,Niki Caro,"Jeff Abberley, Jamie Patricof, Diane Miller Levin, Kim Zubick",Angela Workman,"Mar 31, 2017  Wide","Jul 4, 2017",$17.4M,2h 5m,Focus Features,,"Jessica Chastain,Johan Heldenbergh,Michael McElhatton,Daniel Brühl,Iddo Goldberg,Anna Rust,Brian Caspe,Goran Kostic,Shira Haas,Efrat Dor,"
The Blackcoat's Daughter,74,50,72,"2,500+",R (Brutal Bloody Violence|Brief Strong Language),"Mystery & Thriller, Horror",English,Oz Perkins,"Bryan Bertino, Adrienne Biddle, Alphonse Ghossein, Robert Menzies, Rob Paris",Oz Perkins,"Mar 31, 2017  Limited","May 30, 2017",$20.0K,1h 33m,A24,,"Emma Roberts,Kiernan Shipka,Lucy Boynton,James Remar,Lauren Holly,Greg Ellwand,Elana Krausz,Heather Tod Mitchell,Peter J. Gray,Emma Holzer,"
The Discovery,46,43,63,"1,000+",,"Mystery & Thriller, Romance, Sci-Fi",English,Charlie McDowell,"Alex Orlovsky, James D. Stern, Hunter Gray","Justin Lader, Charlie McDowell",,"Apr 1, 2017",,1h 50m,,,"Rooney Mara,Jason Segel,Robert Redford,Jesse Plemons,Riley Keough,Ron Canada,Charlie McDowell,Justin Lader,Charlie McDowell,Alex Orlovsky,"
Carrie Pilby,63,74,27,"1,000+",,"Drama, Comedy",English,Susan Johnson,"Susan Johnson, Suzanne Farwell, Susan Cartsonis, Brent Emery, Lisa Wolofsky","Kara Holden, Dean Craig","Mar 31, 2017  Limited","Apr 4, 2017",$19.0K,1h 38m,The Orchard,,"Bel Powley,Gabriel Byrne,Nathan Lane,Jason Ritter,Vanessa Bayer,Colin O'Donoghue,Desmin Borges,William Moseley,Poorna Jagannathan,Susan Johnson,"
The Case for Christ,61,78,28,50+,PG (Incidental Smoking|Descriptions of Crucifixion|Thematic Elements),"Biography, Drama",English,Jon Gunn,"David A.R. White, Michael Scott, Elizabeth Travis, Alysoun Wolfe, Brittany Yost, Karl Horstmann",Brian Bird,"Apr 7, 2017  Wide","Aug 15, 2017",$14.7M,1h 52m,Pure Flix Entertainment,,"Mike Vogel,Erika Christensen,Faye Dunaway,Robert Forster,Frankie Faison,L. Scott Caldwell,Tom Nowicki,Renell Gibbs,Haley Rosenwasser,Mike Pniewski,"
Smurfs: The Lost Village,40,54,97,"25,000+",PG (Some Mild Action|Rude Humor),"Animation, Fantasy, Kids & Family, Adventure, Comedy",English,Kelly Asbury,"Jordan Kerner, Mary Ellen Bauder","Stacey Harman, Pamela Ribon","Apr 7, 2017  Wide","Jul 11, 2017",$45.0M,1h 31m,Sony Pictures Entertainment,,"Demi Lovato,Rainn Wilson,Joe Manganiello,Jack McBrayer,Danny Pudi,Mandy Patinkin,Dee Bradley Baker,Frank Welker,Michelle Rodriguez,Ellie Kemper,"
Going in Style,47,57,171,"10,000+",PG-13 (Language|Drug Content|Some Suggestive Material),Comedy,English,Zach Braff,Donald De Line,Theodore Melfi,"Apr 7, 2017  Wide","Jul 11, 2017",$45.0M,1h 36m,Warner Bros. Pictures,,"Morgan Freeman,Michael Caine,Alan Arkin,Ann-Margret,Joey King,John Ortiz,Peter Serafinowicz,Kenan Thompson,Matt Dillon,Christopher Lloyd,"
Colossal,81,59,263,"10,000+",R (Language),"Fantasy, Comedy",English,Nacho Vigalondo,"Zev Foreman, Nahikari Ipina, Russell Levine, Dominic Rustam, Shawn Williamson, Nicolas Chartier",Nacho Vigalondo,"Apr 7, 2017  Limited","Aug 1, 2017",$3.0M,1h 50m,Neon,,"Anne Hathaway,Jason Sudeikis,Austin Stowell,Tim Blake Nelson,Dan Stevens,Agam Darshi,Rukiya Bernard,Christine Lee,Nacho Vigalondo,Nacho Vigalondo,"
Gifted,73,85,180,"10,000+",PG-13 (Some Suggestive Material|Language|Thematic Elements),Drama,English,Marc Webb,"Karen Lunder, Andy Cohen",Tom Flynn,"Apr 12, 2017  Wide","Jul 25, 2017",$24.8M,1h 41m,Fox Searchlight,,"Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,Jenny Slate,Michael Kendall Kaplan,John M. Jackson,Glenn Plummer,John Finn,Elizabeth Marvel,"
Aftermath,,,,,,,,,,,,,,,,,
The Fate of the Furious,67,72,312,"25,000+",PG-13 (Language|Destruction|Sequences of Violence|Suggestive Content),"Action, Adventure, Mystery & Thriller",English,F. Gary Gray,"Neal H. Moritz, Vin Diesel, Michael Fottrell, Chris Morgan",Chris Morgan,"Apr 14, 2017  Wide","Jul 11, 2017",$225.7M,2h 16m,Universal Pictures,,"Vin Diesel,Dwayne Johnson,Charlize Theron,Jason Statham,Michelle Rodriguez,Kurt Russell,Dame Helen Mirren,Scott Eastwood,Tyrese Gibson,Ludacris,"
Spark,,,,,,,,,,,,,,,,,
The Lost City of Z,86,57,247,"10,000+",PG-13 (Disturbing Images|Brief Strong Language|Some Nudity|Violence),"Biography, Adventure, History, Drama",English,James Gray,"Dede Gardner, Jeremy Kleiner, Anthony Katagas, James Gray, Dale Armin Johnson",James Gray,"Apr 21, 2017  Wide","Jul 11, 2017",$8.6M,2h 21m,"Amazon Studios, Bleecker Street Media",,"Charlie Hunnam,Robert Pattinson,Sienna Miller,Tom Holland,Edward Ashley,Angus Macfadyen,Ian McDiarmid,Clive Francis,Pedro Coello,Matthew Sunderland,"
My Entire High School Sinking Into the Sea,85,55,72,500+,PG-13 (Some Images of Peril|Sexual References|Drug Material),"Adventure, Animation, Comedy",English,Dash Shaw,"Kyle Martin, Craig Zobel",Dash Shaw,"Apr 14, 2017  Limited","Jan 23, 2018",$57.3K,1h 12m,GKIDS,,"Jason Schwartzman,Lena Dunham,Reggie Watts,Maya Rudolph,Susan Sarandon,Thomas Jay Ryan,Alex Karpovsky,Louisa Krause,John Cameron Mitchell,Dash Shaw,"
The Outcasts,,,,,,,,,,,,,,,,,
Born in China,85,73,47,"2,500+",G,Documentary,English,Chuan Lu,"Roy Conli, Brian Leith, Phil Chapman","David Fowler, Brian Leith, Phil Chapman, Chuan Lu","Apr 21, 2017  Wide","Jul 10, 2017",$13.9M,1h 19m,Walt Disney,,"John Krasinski,Xun Zhou,Chuan Lu,David Fowler,Brian Leith,Phil Chapman,Chuan Lu,Roy Conli,Brian Leith,Phil Chapman,"
Unforgettable,28,33,120,"5,000+",R (Sexual Content|Brief Partial Nudity|Some Language|Violence),Mystery & Thriller,English,Denise Di Novi,"Denise Di Novi, Alison Greenspan, Ravi Mehta",Christina Hodson,"Apr 21, 2017  Wide","Jul 25, 2017",$11.3M,1h 40m,Warner Bros. Pictures,,"Rosario Dawson,Katherine Heigl,Geoff Stults,Isabella Kai Rice,Alex Quijano,Sarah Burns,Whitney Cummings,Simon Kassianides,Robert Wisdom,Cheryl Ladd,"
The Promise,,,,,,,,,,,,,,,,,
The Circle,16,21,147,"10,000+",PG-13 (Brief Strong Language|A Sexual Situation|Drug Use|Some Thematic Elements),"Mystery & Thriller, Drama, Sci-Fi",English,James Ponsoldt,"Gary Goetzman, Anthony Bregman, James Ponsoldt","James Ponsoldt, Dave Eggers","Apr 28, 2017  Wide","Aug 1, 2017",$20.5M,1h 50m,STX Entertainment,,"Emma Watson,Tom Hanks,John Boyega,Karen Gillan,Ellar Coltrane,Patton Oswalt,Glenne Headly,Bill Paxton,James Ponsoldt,James Ponsoldt,"
How to Be a Latin Lover,39,61,31,"5,000+",PG-13 (Sexual References and Gestures|Crude Humor|Brief Nudity),Comedy,English,Ken Marino,"Eugenio Derbez, Ben Odell","Chris Spain, Jon Zack","Apr 28, 2017  Wide","Aug 15, 2017",$32.1M,1h 55m,Pantelion Films,,"Eugenio Derbez,Salma Hayek,Rob Lowe,Kristen Bell,Raquel Welch,Rob Corddry,Rob Riggle,Raphael Alejandro,Renee Taylor,Rob Huebel,"
Sleight,,,,,,,,,,,,,,,,,
Becoming Bond,,,,,,,,,,,,,,,,,
Guardians of the Galaxy Vol. 2,85,87,422,"100,000+",PG-13 (Language|Brief Suggestive Content|Sequences of Sci-Fi Action|Violence),"Fantasy, Action, Adventure, Sci-Fi, Comedy",English,James Gunn,Kevin Feige,James Gunn,"May 5, 2017  Wide","Aug 22, 2017",$389.8M,2h 15m,Walt Disney,,"Chris Pratt,Zoe Saldana,Bradley Cooper,Dave Bautista,Vin Diesel,Michael Rooker,Karen Gillan,Sylvester Stallone,Pom Klementieff,Kurt Russell,"
The Lovers,,,,,,,,,,,,,,,,,
3 Generations,31,44,45,"2,500+",PG-13 (Some Sexual References|Mature Thematic Content|Language),"Lgbtq+, Drama, Comedy",English,Gaby Dellal,"Marc Turtletaub, Peter Saraf",Nikole Beckwith,"May 5, 2017  Limited","Jun 13, 2017",$66.4K,1h 34m,Weinstein Co.,,"Naomi Watts,Elle Fanning,Susan Sarandon,Tate Donovan,Linda Emond,Sam Trammell,Maria Dizzia,Maxwell Simkins,Mattea Conforti,Gaby Dellal,"
King Arthur: Legend of the Sword,31,69,276,"25,000+",PG-13 (Sequences of Violence & Action|Brief Strong Language|Some Suggestive Content),"Action, Adventure, Fantasy",English,Guy Ritchie,"Akiva Goldsman, Joby Harold, Tory Tunnell, Steve Clark-Hall, Guy Ritchie, Lionel Wigram","Joby Harold, Guy Ritchie, Lionel Wigram","May 12, 2017  Wide","Aug 8, 2017",$39.1M,2h 6m,Warner Bros. Pictures,,"Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou,Eric Bana,Aidan Gillen,Freddie Fox,Craig McGinlay,Tom Wu,Kingsley Ben-Adir,"
Snatched,36,29,214,"10,000+",R (Crude Sexual Content|Brief Nudity|Language Throughout),"Action, Adventure, Comedy",English,Jonathan Levine,"Peter Chernin, Paul Feig, Jessie Henderson, Jenno Topping",Katie Dippold,"May 12, 2017  Wide","Aug 15, 2017",$45.8M,1h 30m,20th Century Fox,,"Amy Schumer,Goldie Hawn,Wanda Sykes,Joan Cusack,Ike Barinholtz,Tom Bateman,Óscar Jaenada,Christopher Meloni,Randall Park,Bashir Salahuddin,"
Lowriders,57,61,21,"2,500+",PG-13 (Language|Brief Drug Use|Sensuality|Some Violence|Thematic Elements),Drama,English,Ricardo de Montreuil,"Brian Grazer, Jason Blum","Cheo Hodari Coker, Elgin James","May 12, 2017  Limited","Sep 5, 2017",$6.2M,1h 39m,BH Tilt,,"Gabriel Chavarria,Theo Rossi,Demián Bichir,Eva Longoria,Melissa Benoist,Tony Revolori,Yvette Monreal,Cress Williams,Ricardo de Montreuil,Cheo Hodari Coker,"
The Wall,65,42,125,"5,000+",R (Some War Violence|Language Throughout),"Mystery & Thriller, War",English,Doug Liman,David Bartis,Dwain Worrell,"May 12, 2017  Wide","Aug 15, 2017",$1.8M,1h 30m,"Amazon Studios, Roadside Attractions",,"Aaron Taylor-Johnson,John Cena,Laith Nakli,Doug Liman,Dwain Worrell,David Bartis,Ray Angelic,Roman Vasyanov,Julia Bloch,Jeff Mann,"
Paris Can Wait,47,39,115,"2,500+",PG (Some Language|Smoking|Thematic Elements),"Romance, Comedy",English,Eleanor Coppola,"Eleanor Coppola, Fred Roos",Eleanor Coppola,"May 12, 2017  Limited","Sep 5, 2017",$5.6M,1h 32m,Sony Pictures Classics,,"Diane Lane,Arnaud Viard,Alec Baldwin,Elise Tielrooy,Elodie Navarre,Pierre Cuq,Davia Nelson,Eleanor Lambert,Eleanor Coppola,Eleanor Coppola,"
Alien: Covenant,65,55,406,"50,000+",R (Language|Bloody Images|Sci-Fi Violence|Some Sexuality/Nudity),"Mystery & Thriller, Sci-Fi, Horror",English,Ridley Scott,"Ridley Scott, Mark Huffam, Michael Schaefer, David Giler, Walter Hill","John Logan, Dante Harper","May 19, 2017  Wide","Aug 15, 2017",$74.2M,2h 2m,20th Century Fox,,"Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride,Demián Bichir,Carmen Ejogo,Jussie Smollett,Callie Hernandez,Amy Seimetz,Nathaniel Dean,"
Diary of a Wimpy Kid: The Long Haul,18,31,72,"5,000+",PG (Some Rude Humor),"Kids & Family, Adventure, Comedy",English,David Bowers,"Nina Jacobson, Brad Simpson","Jeff Kinney, David Bowers","May 19, 2017  Wide","Aug 8, 2017",$20.7M,1h 31m,20th Century Fox,,"Jason Drucker,Alicia Silverstone,Tom Everett Scott,Charlie Wright,Owen Asztalos,Dylan Walters,Wyatt Walters,Chris Coppola,Joshua Hoover,Mira Silverman,"
"Everything, Everything",45,61,123,"5,000+",PG-13 (Thematic Elements|Brief Sensuality),"Drama, Romance",English,Stella Meghie,"Leslie Morgenstein, Elysa Koplovitz Dutton",J. Mills Goodloe,"May 19, 2017  Wide","Aug 15, 2017",$34.1M,1h 36m,Warner Bros. Pictures,,"Amandla Stenberg,Nick Robinson,Anika Noni Rose,Ana de la Reguera,Taylor Hickson,Danube R. Hermosillo,Dan Payne,Fiona Loewi,Sage Brocklebank,Robert Lawrenson,"
Wakefield,72,52,69,"5,000+",R (Some Sexual Material|Language),Drama,English,Robin Swicord,"Julie Lynn, Bonnie Curtis, Elliot Webb, Carl Moellenberg, Wendy Federman",Robin Swicord,"May 19, 2017  Limited","Jul 25, 2017",$259.4K,1h 49m,IFC Films,,"Bryan Cranston,Jennifer Garner,Jason O'Mara,Beverly D'Angelo,Ian Anthony Dale,Pippa Bennett-Warner,Isaac Leyva,Victoria Bruno,Ellery Sprayberry,Frederick Keeve,"
Baywatch,17,66,246,"10,000+",R (Graphic Nudity|Crude Sexual Content|Language Throughout),"Action, Comedy",English,Seth Gordon,"Michael Berk, Douglas Schwartz, Gregory J. Bonann, Beau Flynn, Ivan Reitman","Damian Shannon, Mark Swift","May 25, 2017  Wide","Aug 22, 2017",$58.0M,1h 56m,Paramount Pictures,,"Dwayne Johnson,Zac Efron,Priyanka Chopra Jonas,Alexandra Daddario,Kelly Rohrbach,Jon Bass,Ilfenesh Hadera,Yahya Abdul-Mateen II,Hannibal Buress,Rob Huebel,"
Pirates of the Caribbean: Dead Men Tell No Tales,30,61,290,"100,000+",PG-13 (Some Suggestive Content|Adventure Violence),"Action, Adventure, Fantasy",English,"Joachim Rønning, Espen Sandberg",Jerry Bruckheimer,Jeff Nathanson,"May 26, 2017  Wide","Oct 3, 2017",$172.5M,2h 3m,Walt Disney,,"Johnny Depp,Geoffrey Rush,Javier Bardem,Brenton Thwaites,Kaya Scodelario,Orlando Bloom,Kevin R. McNally,Golshifteh Farahani,Stephen Graham,Keira Knightley,"
Buena Vista Social Club: Adios,,,,,,,,,,,,,,,,,
War Machine,48,34,95,"5,000+",TVMA,"War, Comedy",English,David Michôd,"Ian Bryce, Dede Gardner, Jeremy Kleiner, Brad Pitt",David Michôd,,"Jun 3, 2017",,2h 2m,,,"Brad Pitt,Anthony Hayes,John Magaro,Anthony Michael Hall,Emory Cohen,Topher Grace,Daniel Betts,Aymen Hamdouchi,RJ Cyler,Alan Ruck,"
Wonder Woman,93,83,471,"100,000+",PG-13 (Sequences of Violence|Action|Some Suggestive Content),"Action, Adventure, Fantasy",English,Patty Jenkins,"Charles Roven, Deborah Snyder, Zack Snyder, Richard Suckle",Allan Heinberg,"Jun 2, 2017  Wide","Sep 26, 2017",$412.8M,2h 21m,Warner Bros. Pictures,,"Gal Gadot,Chris Pine,Connie Nielsen,Robin Wright,Danny Huston,David Thewlis,Said Taghmaoui,Ewen Bremner,Eugene Brave Rock,Lucy Davis,"
Captain Underpants: The First Epic Movie,87,61,136,"10,000+",PG (Mild Rude Humor Throughout),"Kids & Family, Adventure, Animation, Comedy",English,David Soren,"Mireille Soria, Mark Swift",Nicholas Stoller,"Jun 2, 2017  Wide","Sep 12, 2017",$73.9M,1h 29m,20th Century Fox,,"Kevin Hart,Ed Helms,Nick Kroll,Thomas Middleditch,Jordan Peele,Kristen Schaal,DeeDee Rescher,Brian Posehn,David Soren,Susan Fitzer,"
Dean,64,66,50,"1,000+",PG-13 (Language|Some Suggestive Material),"Drama, Comedy",English,Demetri Martin,"Giles Andrew, Elliott Watson, Jessica Latham, Demetri Martin, Charles James Denton",Demetri Martin,"Jun 2, 2017  Limited","Aug 29, 2017",$248.8K,1h 34m,CBS Films,,
The Mummy,16,35,314,"25,000+",PG-13 (Partial Nudity|Action and Scary Images|Some Suggestive Content|Violence),"Action, Adventure, Fantasy, Horror",English,Alex Kurtzman,"Alex Kurtzman, Chris Morgan, Sean Daniel, Sarah Bradshaw","David Koepp, Christopher McQuarrie, Dylan Kussman","Jun 9, 2017  Wide","Jul 10, 2017",$80.1M,1h 47m,Universal Pictures,,"Tom Cruise,Russell Crowe,Annabelle Wallis,Sofia Boutella,Jake Johnson,Courtney B. Vance,Marwan Kenzari,Simon Atherton,Stephen Thompson,James Arama,"
It Comes at Night,87,44,256,"10,000+",R (Language|Disturbing Images|Violence),"Mystery & Thriller, Horror",English,Trey Edward Shults,"David Kaplan, Andrea Roa",Trey Edward Shults,"Jun 9, 2017  Wide","Sep 12, 2017",$14.0M,1h 37m,A24,,"Joel Edgerton,Christopher Abbott,Carmen Ejogo,Riley Keough,Kelvin Harrison Jr.,Griffin Robert Faulkner,David Pendleton,Chase Joliet,Mick O'Rourke,Trey Edward Shults,"
My Cousin Rachel,76,45,156,"5,000+",PG-13 (Some Sexuality|Brief Strong Language),"Mystery & Thriller, Romance, Drama",English,Roger Michell,Kevin Loader,Roger Michell,"Jun 9, 2017  Wide","Aug 29, 2017",$2.7M,1h 46m,Fox Searchlight,,"Rachel Weisz,Sam Claflin,Holliday Grainger,Iain Glen,Pierfrancesco Favino,Vicki Pepperdine,Poppy Lee Friar,Katherine Pearce,Roger Michell,Roger Michell,"
Megan Leavey,86,82,104,"10,000+",PG-13 (Suggestive Material|Language|Thematic Elements|War Violence),"Drama, Biography, War",English,Gabriela Cowperthwaite,"Mickey Liddell, Pete Shilaimon, Jennifer Monroe","Pamela Gray, Annie Mumolo, Tim Lovestedt","Jun 9, 2017  Wide","Sep 5, 2017",$13.4M,1h 56m,Bleecker Street Media,,"Kate Mara,Edie Falco,Ramon Rodriguez,Tom Felton,Damson Idris,Bradley Whitford,Common,Geraldine James,Will Patton,Corey Johnson,"
Beatriz at Dinner,75,53,133,"5,000+",R (Language|A Scene of Violence),Comedy,English,Miguel Arteta,"Pamela Koffler, Aaron L. Gilbert, David Hinojosa, Christine Vachon",Mike White,"Jun 23, 2017  Wide","Sep 12, 2017",$7.1M,1h 23m,Roadside Attractions,,"Salma Hayek,John Lithgow,Connie Britton,Chloë Sevigny,Jay Duplass,Amy Landecker,David Warshofsky,John Early,Enrique Castillo,Soledad St. Hilaire,"
Cars 3,69,69,231,"25,000+",G,"Kids & Family, Adventure, Animation, Comedy",English,Brian Fee,Kevin Reher,"Kiel Murray, Bob Peterson, Mike Rich","Jun 16, 2017  Wide","Nov 7, 2017",$152.9M,1h 49m,Walt Disney,,"Owen Wilson,Cristela Alonzo,Armie Hammer,Chris Cooper,Nathan Fillion,Larry the Cable Guy,Tony Shalhoub,Margo Martindale,Kerry Washington,Cheech Marin,"
Rough Night,45,29,175,"10,000+",R (Crude Sexual Content|Brief Bloody Images|Drug Use|Language Throughout),Comedy,English,Lucia Aniello,"Matthew Tolmach, Lucia Aniello, Paul W. Downs, Dave Becky","Lucia Aniello, Paul W. Downs","Jun 16, 2017  Wide","Sep 5, 2017",$22.1M,1h 36m,Sony Pictures Entertainment,,"Scarlett Johansson,Jillian Bell,Zoë Kravitz,Ilana Glazer,Kate McKinnon,Paul W. Downs,Ryan Cooper,Ty Burrell,Demi Moore,Enrique Murciano,"
All Eyez on Me,18,53,93,"10,000+",R (Language Throughout|Drug Use|Some Nudity and Sexuality|Violence),"Biography, Music, Drama",English,Benny Boom,"David Robinson, L.T. Hutton, James G. Robinson","Jeremy Haft, Ed Gonzalez, Steven Bagatourian","Jun 16, 2017  Wide","Sep 5, 2017",$44.9M,2h 20m,Lionsgate Films,,"Demetrius Shipp Jr.,Danai Gurira,Katerina Graham,Dominic Santana,Jamal Woolard,Jarrett Ellis,Harold House Moore,Lauren Cohan,Hill Harper,Annie Ilonzeh,"
47 Meters Down,,,,,,,,,,,,,,,,,
The Book of Henry,22,63,147,"5,000+",PG-13 (Thematic Elements|Brief Strong Language),"Mystery & Thriller, Drama",English,Colin Trevorrow,"Sidney Kimmel, Jenette Kahn, Adam Richman, Carla Hacken",Gregg Hurwitz,"Jun 16, 2017  Wide","Jul 10, 2017",$4.2M,1h 40m,Focus Features,,"Naomi Watts,Jaeden Martell,Jacob Tremblay,Sarah Silverman,Dean Norris,Lee Pace,Maddie Ziegler,Tonya Pinkins,Bobby Moynihan,Colin Trevorrow,"
Transformers: The Last Knight,15,43,255,"25,000+",PG-13 (Language|Intense Sci-Fi Action|Some Innuendo|Violence),"Fantasy, Action, Adventure, Sci-Fi",English,Michael Bay,"Don Murphy, Tom DeSanto, Lorenzo di Bonaventura, Ian Bryce","Art Marcum, Matt Holloway, Ken Nolan","Jun 21, 2017  Wide","Sep 26, 2017",$130.1M,2h 28m,Paramount Pictures,,"Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Stanley Tucci,Laura Haddock,Santiago Cabrera,Isabela Merced,Jerrod Carmichael,Liam Garrigan,Martin McCreadie,"
The Beguiled,79,48,327,"10,000+",R (Some Sexuality),"History, Drama",English,Sofia Coppola,"Roman Coppola, Sofia Coppola, Youree Henley",Sofia Coppola,"Jun 30, 2017  Wide","Oct 10, 2017",$10.5M,1h 34m,Focus Features,,"Colin Farrell,Nicole Kidman,Kirsten Dunst,Elle Fanning,Oona Laurence,Angourie Rice,Addison Riecke,Emma Howard,Wayne Pere,Sofia Coppola,"
The Big Sick,98,88,304,"25,000+",R (Some Sexual References|Language),"Romance, Comedy",English,Michael Showalter,"Judd Apatow, Barry Mendel","Emily V. Gordon, Kumail Nanjiani","Jul 14, 2017  Wide","Sep 19, 2017",$42.9M,2h 0m,"Lionsgate Films, Amazon Studios",,"Kumail Nanjiani,Zoe Kazan,Holly Hunter,Ray Romano,Anupam Kher,Zenobia Shroff,Adeel Akhtar,Bo Burnham,Aidy Bryant,Kurt Braunohler,"
The Bad Batch,46,30,101,"2,500+",R (Some Drug Content|Language|Brief Nudity|Violence),"Mystery & Thriller, Horror",English,Ana Lily Amirpour,"Sina Sayyah, Danny Gabai",Ana Lily Amirpour,"Jun 23, 2017  Limited","Sep 19, 2017",$180.9K,1h 58m,Neon,,"Suki Waterhouse,Jason Momoa,Keanu Reeves,Jayda Fink,Yolonda Ross,Louie Lopez Jr.,Giovanni Ribisi,Jim Carrey,Diego Luna,Ana Lily Amirpour,"
Baby Driver,92,86,395,"50,000+",R (Violence|Language Throughout),"Action, Mystery & Thriller",English,Edgar Wright,"Nira Park, Tim Bevan, Eric Fellner",Edgar Wright,"Jun 28, 2017  Wide","Sep 26, 2017",$107.8M,1h 53m,Sony Pictures Entertainment,,"Ansel Elgort,Kevin Spacey,Lily James,Jon Bernthal,Jon Hamm,Jamie Foxx,Eiza González,Flea,Sky Ferreira,Lanny Joon,"
Okja,86,81,239,"10,000+",,"Mystery & Thriller, Drama, Fantasy, Adventure, Sci-Fi",English,Bong Joon-ho,"Choi Doo-ho, Dede Gardner, Bong Joon-ho, Lewis Taewan Kim, Jeremy Kleiner, Woo-sik Seo","Bong Joon-ho, Jon Ronson","Jun 28, 2017  Limited","Jun 30, 2017",,1h 58m,Netflix,,"Ahn Seo-hyun,Tilda Swinton,Jake Gyllenhaal,Giancarlo Esposito,Paul Dano,Lily Collins,Steven Yeun,Shirley Henderson,Devon Bostick,Daniel Henshall,"
Despicable Me 3,59,53,198,"50,000+",PG (Action and Rude Humor),"Comedy, Kids & Family, Adventure, Animation",English,"Pierre Coffin, Kyle Balda","Christopher Meledandri, Janet Healy","Cinco Paul, Ken Daurio","Jun 30, 2017  Wide","Oct 4, 2016",$264.6M,1h 30m,Universal Pictures,,"Steve Carell,Kristen Wiig,Trey Parker,Miranda Cosgrove,Dana Gaier,Nev Scharrel,Pierre Coffin,Steve Coogan,Julie Andrews,Jenny Slate,"
The House,,,,,,,,,,,,,,,,,
The Little Hours,78,49,128,"5,000+",R (Language|Graphic Nudity|Sexual Content),Comedy,English,Jeff Baena,"Liz Destro, Aubrey Plaza",Jeff Baena,"Jun 30, 2017  Limited","Sep 26, 2017",$1.6M,1h 30m,Gunpowder & Sky,,"Alison Brie,Dave Franco,Kate Micucci,Aubrey Plaza,John C. Reilly,Molly Shannon,Fred Armisen,Nick Offerman,Jeff Baena,Jeff Baena,"
Inconceivable,31,61,13,500+,R (Sexuality|Nudity|Language|Some Violence),"Mystery & Thriller, Drama",English,Jonathan Baker,"Randall Emmett, George Furla, Jonathan Baker, Mark Stewart, Hilary Shor",Chloe King,"Jun 30, 2017  Limited","Aug 29, 2017",,1h 45m,Lionsgate Premiere,,"Gina Gershon,Faye Dunaway,Nicolas Cage,Nicky Whelan,Natalie Eva Marie,Jonathan Baker,James Van Patten,Ele Bardha,Jonathan Baker,Chloe King,"
2:22,,,,,,,,,,,,,,,,,
A Ghost Story,91,66,280,"10,000+",R (Brief Language|A Disturbing Image),"Fantasy, Romance, Drama",English,David Lowery,"Toby Halbrooks, James M. Johnston, Adam Donaghey",David Lowery,"Jul 7, 2017  Limited","Oct 3, 2017",$1.6M,1h 30m,A24,,"Casey Affleck,Rooney Mara,Kenneisha Thompson,Grover Coulson,Liz Cardenas,Barlow Jacobs,Will Oldham,Sonia Acevedo,Rob Zabrecky,Carlos Bermudez,"
