filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
Impractical Jokers: The Movie,35,76,26,"1,000+",PG-13 (Language|Brief Nudity|Some Drug References|Suggestive Content),Comedy,English,Chris Henchy,"Joe Gatto, James Murray, Brian Quinn, Sal Vulcano, Chris Henchy, Jim Ziegler",Chris Henchy,"Feb 28, 2020  Wide","Apr 1, 2020",$10.2M,1h 33m,truTV,,"Brian Quinn,James Murray,Joe Gatto,Sal Vulcano,Chris Henchy,Chris Henchy,Joe Gatto,James Murray,Brian Quinn,Sal Vulcano,"
The Invisible Man,92,88,412,"10,000+",R (Some Strong Bloody Violence|Language),"Mystery & Thriller, Horror",English,Leigh Whannell,"Jason Blum, Kylie Du Fresne",Leigh Whannell,"Feb 28, 2020  Wide","Mar 20, 2020",$64.3M,2h 4m,Universal Pictures,,"Elisabeth Moss,Oliver Jackson-Cohen,Aldis Hodge,Storm Reid,Harriet Dyer,Michael Dorman,Benedict Hardie,Amali Golden,Anthony Brandon Wong,Leigh Whannell,"
All the Bright Places,64,61,39,250+,,"Drama, Romance",English,Brett Haley,,,,"Mar 10, 2020",,1h 47m,,,
Wendy,42,75,112,Fewer,PG-13 (Brief Violent/Bloody Images),Adventure,English,Benh Zeitlin,"Becky Glupczynski, Dan Janvey, Paul Mezey, Josh Penn","Benh Zeitlin, Eliza Zeitlin","Feb 28, 2020  Limited","Apr 17, 2020",$138.3K,1h 52m,Searchlight Pictures,,"Devin France,Yashua Mack,Gage Naquin,Gavin Naquin,Ahmad Cage,Krzysztof Meyn,Romyri Ross,Shay Walker,Stephanie Lynn Wilson,Benh Zeitlin,"
Guns Akimbo,51,40,70,Fewer,R (Pervasive Language|Drug Use|Brief Graphic Nudity|Sexual References|Strong Bloody Violence),"Action, Comedy",English,Jason Lei Howden,"Tom Hern, Felipe Marino, Joe Neurauter",Jason Lei Howden,"Feb 28, 2020  Limited","Feb 28, 2020",,1h 35m,Saban Films,,"Daniel Radcliffe,Samara Weaving,Natasha Liu Bordizzo,Ned Dennehy,Rhys Darby,Mark Rowley,Hanako Footman,Jacqueline Lee Geurts,Colin Moy,Bella Padden,"
Onward,88,95,337,"5,000+",PG (Some Mild Thematic Elements|Action/Peril),"Animation, Fantasy, Kids & Family, Adventure, Comedy",English,Dan Scanlon,Kori Rae,"Dan Scanlon, Jason Headley, Keith Bunin","Mar 6, 2020  Wide","Mar 6, 2020",$60.4M,1h 43m,Walt Disney,,"Tom Holland,Chris Pratt,Julia Louis-Dreyfus,Octavia Spencer,Ali Wong,John Ratzenberger,Lena Waithe,Mel Rodriguez,Grey DeLisle,Tracey Ullman,"
filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
The Way Back,84,84,215,"2,500+",R (Some Sexual References|Language Throughout),Drama,English,Gavin O'Connor,"Gordon Gray, Jennifer Todd, Gavin O'Connor, Ravi Mehta",Brad Ingelsby,"Mar 6, 2020  Wide","Mar 6, 2020",,1h 48m,Warner Bros. Pictures,,"Ben Affleck,Al Madrigal,Janina Gavankar,Jeremy Radin,Brandon Wilson,Melvin Gregg,Michaela Watkins,Will Ropp,T.K. Carter,Glynn Turman,"
penser Confidential,,,,,,,,,,,,,,,,,
The Banker,79,100,77,50+,PG-13 (Some Strong Language|A Sexual Reference|Smoking Throughout|Racial Epithets),"History, Drama",English,George Nolfi,"Joel Viertel, Brad Feinstein, George Nolfi, Nnamdi Asomugha, Jonathan Baker, David Lewis Smith, Anthony Mackie","Niceole Levy, George Nolfi, David Lewis Smith, Stan Younger, Brad Kane","Mar 6, 2020  Limited","Jan 8, 2020",,2h 0m,Apple,,"Anthony Mackie,Samuel L. Jackson,Nicholas Hoult,Nia Long,Jessie Usher,Colm Meaney,Michael Harney,Paul Ben-Victor,Taylor Black,James DuMont,"
